sku,description,markets_missing,UK
SLOVAKIA-3GB-15D,Slovakia 3GB 15Days,0,Inactive
SLOVAKIA-5GB-30D,Slovakia 5GB 30Days,0,Inactive
SLOVENIA-20GB-30D,Slovenia 20GB 30Days,0,Inactive
SLOVENIA-3GB-15D,Slovenia 3GB 15Days,0,Inactive
SLOVENIA-5GB-30D,Slovenia 5GB 30Days,0,Inactive
SOUTH-AFRICA-5GB-30D,South Africa 5GB 30Days,0,Active
SOUTH-AMERICA-5GB-30D,South America 5GB 30Days,0,Inactive
SOUTH-KOREA-20GB-30D,South Korea 20GB 30Days,0,Inactive
SOUTH-KOREA-3GB-15D,South Korea 3GB 15Days,0,Inactive
SOUTH-KOREA-5GB-30D,South Korea 5GB 30Days,0,Inactive
SPAIN-20GB-30D,Spain 20GB 30Days,0,Active
SPAIN-3GB-15D,Spain 3GB 15Days,0,Active
SPAIN-5GB-30D,Spain 5GB 30Days,0,Active
SRI-LANKA-20GB-30D,Sri Lanka 20GB 30Days,0,Inactive
SRI-LANKA-3GB-15D,Sri Lanka 3GB 15Days,0,Inactive
SRI-LANKA-5GB-30D,Sri Lanka 5GB 30Days,0,Inactive
SUDAN-3GB-15D,Sudan 3GB 15Days,0,Inactive
SUDAN-5GB-30D,Sudan 5GB 30Days,0,Inactive
SURINAME-20GB-30D,Suriname 20GB 30Days,0,Inactive
SURINAME-3GB-15D,Suriname 3GB 15Days,0,Inactive
SURINAME-5GB-30D,Suriname 5GB 30Days,0,Inactive
SVG-20GB-30D,Saint Vincent and the Grenadines 20GB 30Days,0,Inactive
SWEDEN-20GB-30D,Sweden 20GB 30Days,0,Inactive
SWEDEN-3GB-15D,Sweden 3GB 15Days,0,Inactive
SWEDEN-5GB-30D,Sweden 5GB 30Days,0,Inactive
SWITZERLAND-20GB-30D,Switzerland 20GB 30Days,0,Inactive
SWITZERLAND-3GB-15D,Switzerland 3GB 15Days,0,Inactive
SWITZERLAND-5GB-30D,Switzerland 5GB 30Days,0,Inactive
TAJIKISTAN-20GB-30D,Tajikistan 20GB 30Days,0,Inactive
TAJIKISTAN-3GB-15D,Tajikistan 3GB 15Days,0,Inactive
TAJIKISTAN-5GB-30D,Tajikistan 5GB 30Days,0,Inactive
TANZANIA-3GB-15D,Tanzania 3GB 15Days,0,Inactive
THAILAND-20GB-30D,Thailand 20GB 30Days,0,Inactive
THAILAND-3GB-15D,Thailand 3GB 15Days,0,Inactive
THAILAND-5GB-30D,Thailand 5GB 30Days,0,Inactive
TRINIDAD-AND-TOBAGO-20GB-30D,Trinidad and Tobago 20GB 30Days,0,Inactive
TRINIDAD-AND-TOBAGO-3GB-15D,Trinidad and Tobago 3GB 15Days,0,Inactive
TRINIDAD-AND-TOBAGO-5GB-30D,Trinidad and Tobago 5GB 30Days,0,Inactive
TUNISIA-5GB-30D,Tunisia 5GB 30Days,0,Inactive
TURKEY-20GB-30D,Turkey 20GB 30Days,0,Inactive
TURKEY-3GB-15D,Turkey 3GB 15Days,0,Inactive
TURKEY-5GB-30D,Turkey 5GB 30Days,0,Inactive
TURKS-AND-CAICOS-ISLANDS-20GB-30D,Turks and Caicos Islands 20GB 30Days,0,Inactive
TURKS-AND-CAICOS-ISLANDS-3GB-15D,Turks and Caicos Islands 3GB 15Days,0,Inactive
TURKS-AND-CAICOS-ISLANDS-5GB-30D,Turks and Caicos Islands 5GB 30Days,0,Inactive
UGANDA-3GB-15D,Uganda 3GB 15Days,0,Inactive
UKRAINE-3GB-15D,Ukraine 3GB 15Days,0,Inactive
UKRAINE-5GB-30D,Ukraine 5GB 30Days,0,Inactive
UNITED-ARAB-EMIRATES-20GB-30D,United Arab Emirates 20GB 30Days,0,Inactive
UNITED-ARAB-EMIRATES-3GB-15D,United Arab Emirates 3GB 15Days,0,Inactive
UNITED-ARAB-EMIRATES-5GB-30D,United Arab Emirates 5GB 30Days,0,Inactive
UNITED-KINGDOM-20GB-30D,United Kingdom 20GB 30Days,0,Inactive
UNITED-KINGDOM-3GB-15D,United Kingdom 3GB 15Days,0,Inactive
UNITED-KINGDOM-5GB-30D,United Kingdom 5GB 30Days,0,Inactive
UNITED-STATES-3GB-15D,United States 3GB 15Days,0,Inactive
UNITED-STATES-5GB-30D,United States 5GB 30Days,0,Inactive
URUGUAY-3GB-15D,Uruguay 3GB 15Days,0,Inactive
UZBEKISTAN-5GB-30D,Uzbekistan 5GB 30Days,0,Inactive
VATICAN-CITY-20GB-30D,Vatican City 20GB 30Days,0,Inactive
VATICAN-CITY-3GB-15D,Vatican City 3GB 15Days,0,Inactive
VATICAN-CITY-5GB-30D,Vatican City 5GB 30Days,0,Inactive
VIETNAM-20GB-30D,Vietnam 20GB 30Days,0,Inactive
VIETNAM-3GB-15D,Vietnam 3GB 15Days,0,Inactive
VIETNAM-5GB-30D,Vietnam 5GB 30Days,0,Inactive
ZAMBIA-3GB-15D,Zambia 3GB 15Days,0,Inactive
ZAMBIA-5GB-30D,Zambia 5GB 30Days,0,Inactive
