sku,description,markets_missing,UK
CHILE-3GB-15D,Chile 3GB 15Days,0,Inactive
CHINA-20GB-30D,China 20GB 30Days,0,Inactive
CHINA-3GB-15D,China 3GB 15Days,0,Active
CHINA-5GB-30D,China 5GB 30Days,0,Active
COLOMBIA-3GB-15D,Colombia 3GB 15Days,0,Inactive
COSTA-RICA-3GB-15D,Costa Rica 3GB 15Days,0,Inactive
COTE-D-IVOIRE-3GB-15D,Cote d'Ivoire 3GB 15Days,0,Inactive
COTE-D-IVOIRE-5GB-30D,Cote d'Ivoire 5GB 30Days,0,Inactive
CROATIA-20GB-30D,Croatia 20GB 30Days,0,Inactive
CROATIA-3GB-15D,Croatia 3GB 15Days,0,Inactive
CROATIA-5GB-30D,Croatia 5GB 30Days,0,Inactive
CURACAO-20GB-30D,Curacao 20GB 30Days,0,Inactive
CURACAO-3GB-15D,Curacao 3GB 15Days,0,Inactive
CURACAO-5GB-30D,Curacao 5GB 30Days,0,Inactive
CYPRUS-3GB-15D,Cyprus 3GB 15Days,0,Inactive
CYPRUS-5GB-30D,Cyprus 5GB 30Days,0,Inactive
CZECH-REPUBLIC-20GB-30D,Czech Republic 20GB 30Days,0,Inactive
CZECH-REPUBLIC-3GB-15D,Czech Republic 3GB 15Days,0,Inactive
CZECH-REPUBLIC-5GB-30D,Czech Republic 5GB 30Days,0,Inactive
DEMOCRATIC-REPUBLIC-OF-THE-CONGO-3GB-15D,Democratic Republic of the Congo 3GB 15Days,0,Inactive
DEMOCRATIC-REPUBLIC-OF-THE-CONGO-5GB-30D,Democratic Republic of the Congo 5GB 30Days,0,Inactive
DENMARK-20GB-30D,Denmark 20GB 30Days,0,Inactive
DENMARK-3GB-15D,Denmark 3GB 15Days,0,Inactive
DENMARK-5GB-30D,Denmark 5GB 30Days,0,Inactive
DOMINICA-20GB-30D,Dominica 20GB 30Days,0,Inactive
DOMINICA-3GB-15D,Dominica 3GB 15Days,0,Inactive
DOMINICA-5GB-30D,Dominica 5GB 30Days,0,Inactive
DOMINICAN-REPUBLIC-20GB-30D,Dominican Republic 20GB 30Days,0,Inactive
DOMINICAN-REPUBLIC-3GB-15D,Dominican Republic 3GB 15Days,0,Inactive
DOMINICAN-REPUBLIC-5GB-30D,Dominican Republic 5GB 30Days,0,Inactive
DRC-20GB-30D,Democratic Republic of the Congo 20GB 30Days,0,Inactive
ECUADOR-3GB-15D,Ecuador 3GB 15Days,0,Inactive
EGYPT-20GB-30D,Egypt 20GB 30Days,0,Active
EGYPT-3GB-15D,Egypt 3GB 15Days,0,Active
EGYPT-5GB-30D,Egypt 5GB 30Days,0,Inactive
EL-SALVADOR-3GB-15D,El Salvador 3GB 15Days,0,Inactive
ESTONIA-20GB-30D,Estonia 20GB 30Days,0,Inactive
ESTONIA-3GB-15D,Estonia 3GB 15Days,0,Inactive
ESTONIA-5GB-30D,Estonia 5GB 30Days,0,Inactive
EUROPE-40-AREAS-20GB-30D,Europe(40+ areas) 20GB 30Days,0,Inactive
EUROPE-40-AREAS-5GB-30D,Europe(40+ areas) 5GB 30Days,0,Inactive
FAROE-ISLANDS-20GB-30D,Faroe Islands 20GB 30Days,0,Inactive
FAROE-ISLANDS-3GB-15D,Faroe Islands 3GB 15Days,0,Inactive
FAROE-ISLANDS-5GB-30D,Faroe Islands 5GB 30Days,0,Inactive
FIJI-20GB-30D,Fiji 20GB 30Days,0,Inactive
FIJI-3GB-15D,Fiji 3GB 15Days,0,Inactive
FIJI-5GB-30D,Fiji 5GB 30Days,0,Inactive
FINLAND-3GB-15D,Finland 3GB 15Days,0,Inactive
FINLAND-5GB-30D,Finland 5GB 30Days,0,Inactive
FRANCE-20GB-30D,France 20GB 30Days,0,Active
FRANCE-3GB-15D,France 3GB 15Days,0,Active
FRANCE-5GB-30D,France 5GB 30Days,0,Active
FRENCH-GUIANA-20GB-30D,French Guiana 20GB 30Days,0,Inactive
FRENCH-GUIANA-3GB-15D,French Guiana 3GB 15Days,0,Inactive
FRENCH-GUIANA-5GB-30D,French Guiana 5GB 30Days,0,Inactive
FRENCH-POLYNESIA-20GB-30D,French Polynesia 20GB 30Days,0,Inactive
FRENCH-POLYNESIA-3GB-15D,French Polynesia 3GB 15Days,0,Inactive
FRENCH-POLYNESIA-5GB-30D,French Polynesia 5GB 30Days,0,Inactive
GABON-3GB-15D,Gabon 3GB 15Days,0,Inactive
GAMBIA-3GB-15D,Gambia 3GB 15Days,0,Inactive
GAMBIA-5GB-30D,Gambia 5GB 30Days,0,Inactive
GEORGIA-20GB-30D,Georgia 20GB 30Days,0,Inactive
GEORGIA-3GB-15D,Georgia 3GB 15Days,0,Inactive
GERMANY-20GB-30D,Germany 20GB 30Days,0,Active
GERMANY-3GB-15D,Germany 3GB 15Days,0,Active
GERMANY-5GB-30D,Germany 5GB 30Days,0,Active
GHANA-20GB-30D,Ghana 20GB 30Days,0,Inactive
GHANA-3GB-15D,Ghana 3GB 15Days,0,Inactive
GHANA-5GB-30D,Ghana 5GB 30Days,0,Inactive
GIBRALTAR-3GB-15D,Gibraltar 3GB 15Days,0,Inactive
GLOBAL139-5GB-30D,Global139 5GB 30Days,0,Inactive
GREECE-20GB-30D,Greece 20GB 30Days,0,Active
GREECE-3GB-15D,Greece 3GB 15Days,0,Active
GREECE-5GB-30D,Greece 5GB 30Days,0,Active
GREENLAND-20GB-30D,Greenland 20GB 30Days,0,Inactive
GREENLAND-3GB-15D,Greenland 3GB 15Days,0,Inactive
GREENLAND-5GB-30D,Greenland 5GB 30Days,0,Inactive
