sku,description,markets_missing,UK,IE,FR,DE,IT,ES,NL,BE,SE,PL
ISLE-OF-MAN-3GB-15D,Isle of Man 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ISLE-OF-MAN-5GB-30D,Isle of Man 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
ISRAEL-20GB-30D,Israel 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ISRAEL-3GB-15D,Israel 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ISRAEL-5GB-30D,Israel 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
ITALY-20GB-30D,Italy 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
ITALY-3GB-15D,Italy 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
ITALY-5GB-30D,Italy 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
JAMAICA-20GB-30D,Jamaica 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
JAMAICA-3GB-15D,Jamaica 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
JAMAICA-5GB-30D,Jamaica 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
JAPAN-20GB-30D,Japan 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
JAPAN-3GB-15D,Japan 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
JAPAN-5GB-30D,Japan 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
JERSEY-20GB-30D,Jersey 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
JERSEY-3GB-15D,Jersey 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
JERSEY-5GB-30D,Jersey 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
JORDAN-20GB-30D,Jordan 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
JORDAN-3GB-15D,Jordan 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
JORDAN-5GB-30D,Jordan 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
KAZAKHSTAN-20GB-30D,Kazakhstan 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
KAZAKHSTAN-3GB-15D,Kazakhstan 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
KAZAKHSTAN-5GB-30D,Kazakhstan 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
KENYA-3GB-15D,Kenya 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
KENYA-5GB-30D,Kenya 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
KUWAIT-20GB-30D,Kuwait 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Inactive,Inactive,Active
KUWAIT-3GB-15D,Kuwait 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
KUWAIT-5GB-30D,Kuwait 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
KYRGYZSTAN-20GB-30D,Kyrgyzstan 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
KYRGYZSTAN-3GB-15D,Kyrgyzstan 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
LAOS-20GB-30D,Laos 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
LAOS-3GB-15D,Laos 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
LAOS-5GB-30D,Laos 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
LATVIA-20GB-30D,Latvia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
LATVIA-3GB-15D,Latvia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
LATVIA-5GB-30D,Latvia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
LIBERIA-3GB-15D,Liberia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
LIBERIA-5GB-30D,Liberia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
LIBYA-20GB-30D,Libya 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
LIBYA-3GB-15D,Libya 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
LIBYA-5GB-30D,Libya 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
LIECHTENSTEIN-3GB-15D,Liechtenstein 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
LITHUANIA-20GB-30D,Lithuania 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
LITHUANIA-3GB-15D,Lithuania 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
LITHUANIA-5GB-30D,Lithuania 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
LUXEMBOURG-20GB-30D,Luxembourg 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
LUXEMBOURG-3GB-15D,Luxembourg 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
LUXEMBOURG-5GB-30D,Luxembourg 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
MACAO-20GB-30D,Macao 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
MACAO-3GB-15D,Macao 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
MACAO-5GB-30D,Macao 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
MADAGASCAR-3GB-15D,Madagascar 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MALAWI-3GB-15D,Malawi 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
MALAWI-5GB-30D,Malawi 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
MALAYSIA-20GB-30D,Malaysia 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
MALAYSIA-3GB-15D,Malaysia 3GB 15Days,0,Active,Inactive,Active,Active,Active,Active,Active,Active,Active,Active
MALAYSIA-5GB-30D,Malaysia 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
MALDIVES-20GB-30D,Maldives 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
MALDIVES-3GB-15D,Maldives 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
MALDIVES-5GB-30D,Maldives 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MALI-3GB-15D,Mali 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MALTA-20GB-30D,Malta 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
MALTA-3GB-15D,Malta 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MALTA-5GB-30D,Malta 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MARTINIQUE-20GB-30D,Martinique 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MARTINIQUE-3GB-15D,Martinique 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MARTINIQUE-5GB-30D,Martinique 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
MAURITIUS-3GB-15D,Mauritius 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MAURITIUS-5GB-30D,Mauritius 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
MAYOTTE-20GB-30D,Mayotte 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
MAYOTTE-3GB-15D,Mayotte 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MAYOTTE-5GB-30D,Mayotte 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
MEXICO-20GB-30D,Mexico 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
MEXICO-3GB-15D,Mexico 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
MEXICO-5GB-30D,Mexico 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MIDDLE-EAST-5GB-30D,Middle East 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
MOLDOVA-3GB-15D,Moldova 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MONACO-3GB-15D,Monaco 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MONACO-5GB-30D,Monaco 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
MONGOLIA-3GB-15D,Mongolia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MONTENEGRO-3GB-15D,Montenegro 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
MONTSERRAT-20GB-30D,Montserrat 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
MONTSERRAT-3GB-15D,Montserrat 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
MONTSERRAT-5GB-30D,Montserrat 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
MOROCCO-20GB-30D,Morocco 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
MOROCCO-3GB-15D,Morocco 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
MOROCCO-5GB-30D,Morocco 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
MOZAMBIQUE-20GB-30D,Mozambique 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
MOZAMBIQUE-3GB-15D,Mozambique 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
NEPAL-3GB-15D,Nepal 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
NETHERLANDS-20GB-30D,Netherlands 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
NETHERLANDS-3GB-15D,Netherlands 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
NETHERLANDS-5GB-30D,Netherlands 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
NEW-ZEALAND-20GB-30D,New Zealand 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
NEW-ZEALAND-3GB-15D,New Zealand 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
NEW-ZEALAND-5GB-30D,New Zealand 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
NICARAGUA-3GB-15D,Nicaragua 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
NIGER-3GB-15D,Niger 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
NIGERIA-3GB-15D,Nigeria 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
NORTH-AMERICA-5GB-30D,North America 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
NORTH-MACEDONIA-3GB-15D,North Macedonia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
NORTH-MACEDONIA-5GB-30D,North Macedonia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
NORWAY-20GB-30D,Norway 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
NORWAY-3GB-15D,Norway 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
NORWAY-5GB-30D,Norway 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
OMAN-20GB-30D,Oman 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
OMAN-3GB-15D,Oman 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
PAKISTAN-20GB-30D,Pakistan 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
PAKISTAN-3GB-15D,Pakistan 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
PAKISTAN-5GB-30D,Pakistan 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
PANAMA-3GB-15D,Panama 3GB 15Days,0,Inactive,Active,Active,Active,Inactive,Inactive,Active,Active,Inactive,Inactive
PARAGUAY-3GB-15D,Paraguay 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
PERU-20GB-30D,Peru 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
PERU-3GB-15D,Peru 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
PHILIPPINES-20GB-30D,Philippines 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
PHILIPPINES-3GB-15D,Philippines 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
PHILIPPINES-5GB-30D,Philippines 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
POLAND-20GB-30D,Poland 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
POLAND-3GB-15D,Poland 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
POLAND-5GB-30D,Poland 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
PORTUGAL-20GB-30D,Portugal 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
PORTUGAL-3GB-15D,Portugal 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
PORTUGAL-5GB-30D,Portugal 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
PUERTO-RICO-3GB-15D,Puerto Rico 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
PUERTO-RICO-5GB-30D,Puerto Rico 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
QATAR-20GB-30D,Qatar 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
QATAR-3GB-15D,Qatar 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
QATAR-5GB-30D,Qatar 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
REPUBLIC-OF-THE-CONGO-20GB-30D,Republic of the Congo 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
REPUBLIC-OF-THE-CONGO-3GB-15D,Republic of the Congo 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
REPUBLIC-OF-THE-CONGO-5GB-30D,Republic of the Congo 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
REUNION-3GB-15D,Reunion 3GB 15Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
REUNION-5GB-30D,Reunion 5GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
ROMANIA-20GB-30D,Romania 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
ROMANIA-3GB-15D,Romania 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
ROMANIA-5GB-30D,Romania 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
RUSSIA-20GB-30D,Russia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
RUSSIA-3GB-15D,Russia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
RUSSIA-5GB-30D,Russia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
RWANDA-20GB-30D,Rwanda 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
RWANDA-3GB-15D,Rwanda 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
RWANDA-5GB-30D,Rwanda 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SAINT-BARTHELEMY-20GB-30D,Saint Barthelemy 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SAINT-BARTHELEMY-3GB-15D,Saint Barthelemy 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SAINT-BARTHELEMY-5GB-30D,Saint Barthelemy 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SAINT-KITTS-AND-NEVIS-20GB-30D,Saint Kitts and Nevis 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SAINT-KITTS-AND-NEVIS-3GB-15D,Saint Kitts and Nevis 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SAINT-KITTS-AND-NEVIS-5GB-30D,Saint Kitts and Nevis 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SAINT-LUCIA-20GB-30D,Saint Lucia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
SAINT-LUCIA-3GB-15D,Saint Lucia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SAINT-LUCIA-5GB-30D,Saint Lucia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SAINT-MARTIN-20GB-30D,Saint Martin 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SAINT-MARTIN-3GB-15D,Saint Martin 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SAINT-MARTIN-5GB-30D,Saint Martin 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SAINT-VINCENT-AND-THE-GRENADINES-3GB-15D,Saint Vincent and the Grenadines 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SAINT-VINCENT-AND-THE-GRENADINES-5GB-30D,Saint Vincent and the Grenadines 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SAMOA-20GB-30D,Samoa 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SAMOA-3GB-15D,Samoa 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SAMOA-5GB-30D,Samoa 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SAN-MARINO-20GB-30D,San Marino 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SAN-MARINO-3GB-15D,San Marino 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SAN-MARINO-5GB-30D,San Marino 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SAUDI-ARABIA-20GB-30D,Saudi Arabia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SAUDI-ARABIA-3GB-15D,Saudi Arabia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SAUDI-ARABIA-5GB-30D,Saudi Arabia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SENEGAL-3GB-15D,Senegal 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
SENEGAL-5GB-30D,Senegal 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
SERBIA-20GB-30D,Serbia 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
SERBIA-3GB-15D,Serbia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SEYCHELLES-3GB-15D,Seychelles 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SEYCHELLES-5GB-30D,Seychelles 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SIERRA-LEONE-20GB-30D,Sierra Leone 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SIERRA-LEONE-3GB-15D,Sierra Leone 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SIERRA-LEONE-5GB-30D,Sierra Leone 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SINGAPORE-20GB-30D,Singapore 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
SINGAPORE-5GB-30D,Singapore 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
SLOVAKIA-20GB-30D,Slovakia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
SLOVAKIA-3GB-15D,Slovakia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SLOVAKIA-5GB-30D,Slovakia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SLOVENIA-20GB-30D,Slovenia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SLOVENIA-3GB-15D,Slovenia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SLOVENIA-5GB-30D,Slovenia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SOUTH-AFRICA-5GB-30D,South Africa 5GB 30Days,3,Active,Active,Active,Active,Active,Active,Active,MISSING,MISSING,MISSING
SOUTH-AMERICA-5GB-30D,South America 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SOUTH-KOREA-20GB-30D,South Korea 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
SOUTH-KOREA-3GB-15D,South Korea 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SOUTH-KOREA-5GB-30D,South Korea 5GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
SPAIN-20GB-30D,Spain 20GB 30Days,0,Active,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
SPAIN-3GB-15D,Spain 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
SPAIN-5GB-30D,Spain 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
SRI-LANKA-20GB-30D,Sri Lanka 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SRI-LANKA-3GB-15D,Sri Lanka 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SRI-LANKA-5GB-30D,Sri Lanka 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SUDAN-3GB-15D,Sudan 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SUDAN-5GB-30D,Sudan 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SURINAME-20GB-30D,Suriname 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
SURINAME-3GB-15D,Suriname 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
SURINAME-5GB-30D,Suriname 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SVG-20GB-30D,Saint Vincent and the Grenadines 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
SWEDEN-20GB-30D,Sweden 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
SWEDEN-3GB-15D,Sweden 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SWEDEN-5GB-30D,Sweden 5GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
SWITZERLAND-20GB-30D,Switzerland 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
SWITZERLAND-3GB-15D,Switzerland 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
SWITZERLAND-5GB-30D,Switzerland 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
TAJIKISTAN-20GB-30D,Tajikistan 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
TAJIKISTAN-3GB-15D,Tajikistan 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
TAJIKISTAN-5GB-30D,Tajikistan 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
TANZANIA-3GB-15D,Tanzania 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
THAILAND-20GB-30D,Thailand 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
THAILAND-3GB-15D,Thailand 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
THAILAND-5GB-30D,Thailand 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
TRINIDAD-AND-TOBAGO-20GB-30D,Trinidad and Tobago 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
