sku,market,asin,before,after,status,issues
AALAND-ISLANDS-3GB-15D,UK,B0FR3CCSMB,DEFAULT,AMAZON_EU,PREVIEW_OK,
AALAND-ISLANDS-5GB-30D,UK,B0FR3G6JWB,DEFAULT,AMAZON_EU,PREVIEW_OK,
AALAND-ISLANDS-20GB-30D,UK,B0FR39Q1KJ,DEFAULT,AMAZON_EU,PREVIEW_OK,
AFRICA-5GB-30D,UK,B0FR3GK9Z7,DEFAULT,AMAZON_EU,PREVIEW_OK,
ALBANIA-5GB-30D,UK,B0FR4ZG3Z6,DEFAULT,AMAZON_EU,PREVIEW_OK,
ARGENTINA-3GB-15D,UK,B0FR554SXN,DEFAULT,AMAZON_EU,PREVIEW_OK,
ARGENTINA-20GB-30D,UK,B0FR5DCH33,DEFAULT,AMAZON_EU,PREVIEW_OK,
ARMENIA-3GB-15D,UK,B0FR5BK9R4,DEFAULT,AMAZON_EU,PREVIEW_OK,
