sku,market,asin,before,after,status,issues
AALAND-ISLANDS-3GB-15D,UK,B0FR3CCSMB,AMAZON_EU,AMAZON_EU,ALREADY_FBA,
AALAND-ISLANDS-5GB-30D,UK,B0FR3G6JWB,DEFAULT,AMAZON_EU,CONVERTED,
AALAND-ISLANDS-20GB-30D,UK,B0FR39Q1KJ,DEFAULT,AMAZON_EU,CONVERTED,
AFRICA-5GB-30D,UK,B0FR3GK9Z7,DEFAULT,AMAZON_EU,CONVERTED,
ALBANIA-5GB-30D,UK,B0FR4ZG3Z6,DEFAULT,AMAZON_EU,CONVERTED,
ARGENTINA-3GB-15D,UK,B0FR554SXN,DEFAULT,AMAZON_EU,CONVERTED,
ARGENTINA-20GB-30D,UK,B0FR5DCH33,DEFAULT,AMAZON_EU,CONVERTED,
ARMENIA-3GB-15D,UK,B0FR5BK9R4,DEFAULT,AMAZON_EU,CONVERTED,
ARMENIA-20GB-30D,UK,B0FR4ZT5XT,DEFAULT,AMAZON_EU,CONVERTED,
ASIA-20-3GB-15D,UK,B0FR9FZ4RF,DEFAULT,AMAZON_EU,CONVERTED,
ASIA-20-5GB-30D,UK,B0FR9BQNSV,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRALIA-3GB-15D,UK,B0FR9SKY4D,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRALIA-5GB-30D,UK,B0FR9JRB62,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRALIA-20GB-30D,UK,B0FR9G1ZQJ,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRIA-3GB-15D,UK,B0FR9QSMSP,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRIA-5GB-30D,UK,B0FR8XCH78,DEFAULT,AMAZON_EU,CONVERTED,
AUSTRIA-20GB-30D,UK,B0FR8XBSBP,DEFAULT,AMAZON_EU,CONVERTED,
AZERBAIJAN-3GB-15D,UK,B0FR9BTC98,DEFAULT,AMAZON_EU,CONVERTED,
BAHRAIN-3GB-15D,UK,B0FR9K64KF,DEFAULT,AMAZON_EU,CONVERTED,
BANGLADESH-3GB-15D,UK,B0FR9L7SG3,DEFAULT,AMAZON_EU,CONVERTED,
BANGLADESH-5GB-30D,UK,B0FR9BQFCM,DEFAULT,AMAZON_EU,CONVERTED,
BANGLADESH-20GB-30D,UK,B0FR8FJ3HJ,DEFAULT,AMAZON_EU,CONVERTED,
BELARUS-3GB-15D,UK,B0FR9G3Z82,DEFAULT,AMAZON_EU,CONVERTED,
BELARUS-5GB-30D,UK,B0FR8FFT4D,DEFAULT,AMAZON_EU,CONVERTED,
BELGIUM-3GB-15D,UK,B0FR9G432K,DEFAULT,AMAZON_EU,CONVERTED,
BELGIUM-5GB-30D,UK,B0FR9SXCW6,DEFAULT,AMAZON_EU,CONVERTED,
BELGIUM-20GB-30D,UK,B0FR9BVRCH,DEFAULT,AMAZON_EU,CONVERTED,
BOLIVIA-3GB-15D,UK,B0FR8FKPKH,DEFAULT,AMAZON_EU,CONVERTED,
BOLIVIA-20GB-30D,UK,B0FR9RH588,DEFAULT,AMAZON_EU,CONVERTED,
BOSNIA-AND-HERZEGOVINA-3GB-15D,UK,B0FR9G8ZVK,DEFAULT,AMAZON_EU,CONVERTED,
BOTSWANA-3GB-15D,UK,B0FR9G7N2Q,DEFAULT,AMAZON_EU,CONVERTED,
BRAZIL-3GB-15D,UK,B0FR9G5LKV,DEFAULT,AMAZON_EU,CONVERTED,
BRAZIL-20GB-30D,UK,B0FR9KLZCR,DEFAULT,AMAZON_EU,CONVERTED,
BRUNEI-DARUSSALAM-3GB-15D,UK,B0FR9KTJND,DEFAULT,AMAZON_EU,CONVERTED,
BRUNEI-DARUSSALAM-20GB-30D,UK,B0FR9F971C,DEFAULT,AMAZON_EU,CONVERTED,
BULGARIA-3GB-15D,UK,B0H6MCT4Y5,DEFAULT,AMAZON_EU,CONVERTED,
BURKINA-FASO-3GB-15D,UK,B0FR9HWFSK,DEFAULT,AMAZON_EU,CONVERTED,
BURKINA-FASO-5GB-30D,UK,B0FR9BWKSY,DEFAULT,AMAZON_EU,CONVERTED,
CAMEROON-3GB-15D,UK,B0FR9VJ1ZB,DEFAULT,AMAZON_EU,CONVERTED,
CENTRAL-AFRICAN-REPUBLIC-3GB-15D,UK,B0FR9RK8FP,DEFAULT,AMAZON_EU,CONVERTED,
CENTRAL-AFRICAN-REPUBLIC-5GB-30D,UK,B0FR9R3NMC,DEFAULT,AMAZON_EU,CONVERTED,
CHAD-3GB-15D,UK,B0FR9SG4MK,DEFAULT,AMAZON_EU,CONVERTED,
CHAD-5GB-30D,UK,B0FR9L414C,DEFAULT,AMAZON_EU,CONVERTED,
CHILE-3GB-15D,UK,B0FR9RY1RT,DEFAULT,AMAZON_EU,CONVERTED,
CHINA-3GB-15D,UK,B0FR9QZ578,DEFAULT,AMAZON_EU,CONVERTED,
CHINA-5GB-30D,UK,B0FR9HX7XH,DEFAULT,AMAZON_EU,CONVERTED,
CHINA-20GB-30D,UK,B0FR9GD6X9,DEFAULT,AMAZON_EU,CONVERTED,
COLOMBIA-3GB-15D,UK,B0FR9RL8W5,DEFAULT,AMAZON_EU,CONVERTED,
CAMBODIA-3GB-15D,UK,B0FR8XKMJ4,DEFAULT,AMAZON_EU,CONVERTED,
CAMBODIA-20GB-30D,UK,B0FR9GFJPL,DEFAULT,AMAZON_EU,CONVERTED,
COSTA-RICA-3GB-15D,UK,B0FR9LNRMN,DEFAULT,AMAZON_EU,CONVERTED,
COTE-D-IVOIRE-3GB-15D,UK,B0FR9HW9DJ,DEFAULT,AMAZON_EU,CONVERTED,
COTE-D-IVOIRE-5GB-30D,UK,B0FR9V5LYJ,DEFAULT,AMAZON_EU,CONVERTED,
CROATIA-3GB-15D,UK,B0FR9GDKT1,DEFAULT,AMAZON_EU,CONVERTED,
CROATIA-5GB-30D,UK,B0FR9BVV58,DEFAULT,AMAZON_EU,CONVERTED,
CROATIA-20GB-30D,UK,B0FR9TYCSL,DEFAULT,AMAZON_EU,CONVERTED,
CYPRUS-3GB-15D,UK,B0FR8XJWWG,DEFAULT,AMAZON_EU,CONVERTED,
CYPRUS-5GB-30D,UK,B0FR8XHWZV,DEFAULT,AMAZON_EU,CONVERTED,
CZECH-REPUBLIC-3GB-15D,UK,B0FR9SB2Q3,DEFAULT,AMAZON_EU,CONVERTED,
CZECH-REPUBLIC-5GB-30D,UK,B0FR9BY2LF,DEFAULT,AMAZON_EU,CONVERTED,
CZECH-REPUBLIC-20GB-30D,UK,B0FR9SVN9H,DEFAULT,AMAZON_EU,CONVERTED,
DENMARK-3GB-15D,UK,B0FR9GSNP4,DEFAULT,AMAZON_EU,CONVERTED,
