when,market,sku,asin,method,result,issues
2026-08-18T06:19:26+00:00,DE,AALAND-ISLANDS-20GB-30D,B0FR39Q1KJ,offer,DEACTIVATED,
2026-08-18T06:19:29+00:00,DE,AALAND-ISLANDS-3GB-15D,B0FR3CCSMB,offer,DEACTIVATED,
2026-08-18T06:19:31+00:00,DE,AALAND-ISLANDS-5GB-30D,B0FR3G6JWB,offer,DEACTIVATED,
