sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote	afn-fc-transfer-quantity	afn-onhand-buyable-quantity	store
TRINIDAD-AND-TOBAGO-5GB-30D	B0H6MJTHY9	B0H6MJTHY9	Trinidad y Tobago eSIM 5GB 30Days	New	33.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TR_20_30	B0FRCYMWCX	B0FRCYMWCX	Turquía eSIM 20GB 30Days	New	16.76	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
TR_3_15	B0FRC2PSHM	B0FRC2PSHM	Turquía eSIM 3GB 15Days	New	6.33	No		Yes	0	0	0	0	100	96.03	0	100	0	0	15	5	0	0	0	0	
TR_5_30	B0FRCBZ1BB	B0FRCBZ1BB	Turquía eSIM 5GB 30Days	New	4.59	No		Yes	0	0	0	0	99	96.03	0	99	0	0	19	1	0	0	0	0	
TUNISIA-5GB-30D	B0FRB7Q96Z	B0FRB7Q96Z	Túnez eSIM 5GB 30Days	New	11.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	5	0	0	0	0	0	
TURKEY-20GB-30D	B0FRCYMWCX	B0FRCYMWCX	Turquía eSIM 20GB 30Days	New	17.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
TURKEY-3GB-15D	B0FRC2PSHM	B0FRC2PSHM	Turquía eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	15	5	0	0	0	0	
TURKEY-5GB-30D	B0FRCBZ1BB	B0FRCBZ1BB	Turquía eSIM 5GB 30Days	New	8.99	No		Yes	0	0	0	0	99	96.03	0	99	0	0	19	1	0	0	0	0	
TURKS-AND-CAICOS-ISLANDS-20GB-30D	B0H6MLBGX7	B0H6MLBGX7	Islas Turcas y Caicos eSIM 20GB 30Days	New	90.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TURKS-AND-CAICOS-ISLANDS-3GB-15D	B0H6MNNXGL	B0H6MNNXGL	Islas Turcas y Caicos eSIM 3GB 15Days	New	23.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TURKS-AND-CAICOS-ISLANDS-5GB-30D	B0H6MLH1KM	B0H6MLH1KM	Islas Turcas y Caicos eSIM 5GB 30Days	New	29.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TZ_3_15	B0FRC81NPJ	B0FRC81NPJ	Tanzania eSIM 3GB 15Days	New	26.24	No		Yes	0	0	0	0	25	96.03	0	25	0	0	4	1	0	0	0	0	
UGANDA-3GB-15D	B0FRB7F7Z9	B0FRB7F7Z9	Uganda eSIM 3GB 15Days	New	18.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
UKRAINE-3GB-15D	B0FRB9SBFR	B0FRB9SBFR	Ucrania eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	4	1	0	0	0	0	
UKRAINE-5GB-30D	B0FRC2NRKG	B0FRC2NRKG	Ucrania eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	5	0	0	0	0	0	
UNITED-ARAB-EMIRATES-20GB-30D	B0FRB7TFJR	B0FRB7TFJR	Emiratos Árabes Unidos eSIM 20GB 30Days	New	36.99	No		Yes	0	0	0	0	20	96.03	0	20	0	0	0	5	0	0	0	0	
UNITED-ARAB-EMIRATES-3GB-15D	B0FRBBYBGH	B0FRBBYBGH	Emiratos Árabes Unidos eSIM 3GB 15Days	New	12.99	No		Yes	0	0	0	0	20	96.03	0	20	0	0	0	5	0	0	0	0	
UNITED-ARAB-EMIRATES-5GB-30D	B0FRB89XHX	B0FRB89XHX	Emiratos Árabes Unidos eSIM 5GB 30Days	New	15.99	No		Yes	0	0	0	0	20	96.03	0	20	0	0	0	5	0	0	0	0	
UNITED-KINGDOM-20GB-30D	B0FRDGCBTN	B0FRDGCBTN	Reino Unido eSIM 20GB 30Days	New	15.99	No		Yes	0	0	0	0	80	169.44	0	80	0	0	0	20	0	0	0	0	
UNITED-KINGDOM-3GB-15D	B0FRCPD8TS	B0FRCPD8TS	Reino Unido eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	81	169.44	0	81	0	0	0	20	0	0	0	0	
UNITED-KINGDOM-5GB-30D	B0FRDDRGJF	B0FRDDRGJF	Reino Unido eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	80	169.44	0	80	0	0	0	20	0	0	0	0	
UNITED-STATES-3GB-15D	B0FRCFXK3V	B0FRCFXK3V	eSIM de Estados Unidos de 3 GB, 15 días	New	8.99	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
UNITED-STATES-5GB-30D	B0FRC2PQ8H	B0FRC2PQ8H	Estados Unidos eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
URUGUAY-3GB-15D	B0FRB7LHGN	B0FRB7LHGN	Uruguay eSIM 3GB 15Days	New	17.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
US_3_15	B0FRCFXK3V	B0FRCFXK3V	eSIM de Estados Unidos de 3 GB, 15 días	New	7.55	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
US_5_30	B0FRC2PQ8H	B0FRC2PQ8H	Estados Unidos eSIM 5GB 30Days	New	6.33	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
UZBEKISTAN-5GB-30D	B0FRBWFZ6M	B0FRBWFZ6M	Uzbekistán eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	0	0	0	0	
VATICAN-CITY-20GB-30D	B0H6MDPLZ9	B0H6MDPLZ9	Ciudad del Vaticano eSIM 20GB 30Days	New	15.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
VATICAN-CITY-3GB-15D	B0H6MBMF8G	B0H6MBMF8G	Ciudad del Vaticano eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
VATICAN-CITY-5GB-30D	B0H6M7YXNP	B0H6M7YXNP	Ciudad del Vaticano eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
VIETNAM-20GB-30D	B0FRC2NKC4	B0FRC2NKC4	Vietnam eSIM 20GB 30Days	New	22.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	0	0	0	0	
VIETNAM-3GB-15D	B0FRBR2DHW	B0FRBR2DHW	Vietnam eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	5	0	0	0	0	0	
VIETNAM-5GB-30D	B0FRCBXRGV	B0FRCBXRGV	Vietnam eSIM 5GB 30Days	New	10.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	3	2	0	0	0	0	
VN_20_30	B0FRC2NKC4	B0FRC2NKC4	Vietnam eSIM 20GB 30Days	New	0.00	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	0	0	0	0	
VN_3_15	B0FRBR2DHW	B0FRBR2DHW	Vietnam eSIM 3GB 15Days	New	0.00	No		Yes	0	0	0	0	25	96.03	0	25	0	0	5	0	0	0	0	0	
VN_5_30	B0FRCBXRGV	B0FRCBXRGV	Vietnam eSIM 5GB 30Days	New	0.00	No		Yes	0	0	0	0	25	96.03	0	25	0	0	3	2	0	0	0	0	
ZAMBIA-3GB-15D	B0FRC2NSM2	B0FRC2NSM2	Zambia eSIM 3GB 15Days	New	17.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ZAMBIA-5GB-30D	B0FRCL97L4	B0FRCL97L4	Zambia eSIM 5GB 30Days	New	28.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ZA_5_30	B0FRB3R6F3	B0FRB3R6F3	Sudáfrica eSIM 5GB 30Days	New	17.92	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
ZM_3_15	B0FRC2NSM2	B0FRC2NSM2	Zambia eSIM 3GB 15Days	New	0.00	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
ZM_5_30	B0FRCL97L4	B0FRCL97L4	Zambia eSIM 5GB 30Days	New	0.00	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
