item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
Aaland Islands eSIM 20GB 30Days	Aaland Islands eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUUK965	AALAND-ISLANDS-20GB-30D	33.99		30/06/2026 22:42:58 MEST		y	4			11				B0FR39Q1KJ						8721438400041				AMAZON_EU	Migrated Template	Active		
Aaland Islands eSIM 3GB 15Days	Aaland Islands eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUTRHHP	AALAND-ISLANDS-3GB-15D	9.99		30/06/2026 22:36:04 MEST		y	4			11				B0FR3CCSMB						8721438400010				AMAZON_EU	Migrated Template	Active		
Aaland Islands eSIM 5GB 30Days	Aaland Islands eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUUWXJV	AALAND-ISLANDS-5GB-30D	13.99		30/06/2026 22:39:41 MEST		y	4			11				B0FR3G6JWB						8721438400034				AMAZON_EU	Migrated Template	Active		
United Arab Emirates eSIM 20GB 30Days		0325HRMI57S	AE_20_30	40.81		25/03/2026 08:31:27 MET		y	1			11				B0FRB7TFJR						B0FRB7TFJR				AMAZON_EU	Migrated Template	Active		
United Arab Emirates eSIM 3GB 15Days		0325HRYUQLT	AE_3_15	10.09		25/03/2026 09:17:17 MET		y	1			11				B0FRBBYBGH						B0FRBBYBGH				AMAZON_EU	Migrated Template	Active		
United Arab Emirates eSIM 5GB 30Days		0325HSAPEGN	AE_5_30	16.02		25/03/2026 10:08:02 MET		y	1			11				B0FRB89XHX						B0FRB89XHX				AMAZON_EU	Migrated Template	Active		
Afrika eSIM 5GB 30Days	Africa eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HV1O6F5	AFRICA-5GB-30D	29.99		30/06/2026 22:46:08 MEST		y	4			11				B0FR3GK9Z7						8721438400072				AMAZON_EU	Migrated Template	Active		
Algerien eSIM 20GB 30Days	Algeria eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTLVE5U	ALGERIA-20GB-30D	26.99		30/06/2026 13:30:43 MEST		y	4			11				B0H6M5TDMD						8721438408443				AMAZON_EU	Migrated Template	Active		
Algerien eSIM 3GB 15Days	Algeria eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTR57J2	ALGERIA-3GB-15D	9.99		30/06/2026 13:22:45 MEST		y	4			11				B0H6M9R3WH						8721438408429				AMAZON_EU	Migrated Template	Active		
Algerien eSIM 5GB 30Days	Algeria eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTIMPWR	ALGERIA-5GB-30D	11.99		30/06/2026 13:26:53 MEST		y	4			11				B0H6MDYKG8						8721438408436				AMAZON_EU	Migrated Template	Active		
Andorra eSIM 20GB 30Days	Andorra eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTFY1XI	ANDORRA-20GB-30D	44.99		30/06/2026 13:42:14 MEST		y	4			11				B0H6MJ97WC						8721438408474				AMAZON_EU	Migrated Template	Active		
Andorra eSIM 3GB 15Days	Andorra eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTK152R	ANDORRA-3GB-15D	15.99		30/06/2026 13:34:37 MEST		y	4			11				B0H6MBPRYN						8721438408450				AMAZON_EU	Migrated Template	Active		
Andorra eSIM 5GB 30Days	Andorra eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTCGT0V	ANDORRA-5GB-30D	16.99		30/06/2026 13:38:45 MEST		y	4			11				B0H6M5P65S						8721438408467				AMAZON_EU	Migrated Template	Active		
Angola eSIM 3GB 15Days	Angola eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTQJ1BB	ANGOLA-3GB-15D	35.99		30/06/2026 13:45:38 MEST		y	4			11				B0H6M5RWZH						8721438408481				AMAZON_EU	Migrated Template	Active		
Angola eSIM 5GB 30Days	Angola eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTM63KU	ANGOLA-5GB-30D	58.99		30/06/2026 13:49:24 MEST		y	4			11				B0H6MKZSB4						8721438408498				AMAZON_EU	Migrated Template	Active		
Anguilla eSIM 20GB 30Days	Anguilla eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTCZJ2R	ANGUILLA-20GB-30D	87.99		30/06/2026 14:09:23 MEST		y	4			11				B0H6MHMZY8						8721438408535				AMAZON_EU	Migrated Template	Active		
Anguilla eSIM 3GB 15Days	Anguilla eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTU9UF8	ANGUILLA-3GB-15D	24.99		30/06/2026 14:02:12 MEST		y	4			11				B0H6M7X7QY						8721438408511				AMAZON_EU	Migrated Template	Active		
Anguilla eSIM 5GB 30Days	Anguilla eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTS7RK2	ANGUILLA-5GB-30D	32.99		30/06/2026 14:05:50 MEST		y	4			11				B0H6MFJ63H						8721438408528				AMAZON_EU	Migrated Template	Active		
Antigua und Barbuda eSIM 20GB 30Days	Antigua and Barbuda eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTTRVJ4	ANTIGUA-AND-BARBUDA-20GB-30D	99.99		30/06/2026 14:37:54 MEST		y	4			11				B0H6M2MQJB						8721438408566				AMAZON_EU	Migrated Template	Active		
Antigua und Barbuda eSIM 3GB 15Days	Antigua and Barbuda eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTMECJE	ANTIGUA-AND-BARBUDA-3GB-15D	26.99		30/06/2026 14:12:57 MEST		y	4			11				B0H6MBBFLQ						8721438408542				AMAZON_EU	Migrated Template	Active		
Antigua und Barbuda eSIM 5GB 30Days	Antigua and Barbuda eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTJFO6A	ANTIGUA-AND-BARBUDA-5GB-30D	35.99		30/06/2026 14:34:57 MEST		y	4			11				B0H6MCR5F9						8721438408559				AMAZON_EU	Migrated Template	Active		
Argentinien eSIM 20GB 30Days	Argentina eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUYWQNZ	ARGENTINA-20GB-30D	37.99		30/06/2026 22:57:18 MEST		y	4			11				B0FR5DCH33						8721438400133				AMAZON_EU	Migrated Template	Active		
Argentinien eSIM 3GB 15Days	Argentina eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUU5RE9	ARGENTINA-3GB-15D	12.99		30/06/2026 22:53:30 MEST		y	4			11				B0FR554SXN						8721438400126				AMAZON_EU	Migrated Template	Active		
Armenia eSIM 20GB 30Days	Armenia eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUV4R1V	ARMENIA-20GB-30D	31.99		30/06/2026 23:04:07 MEST		y	4			11				B0FR4ZT5XT						8721438400188				AMAZON_EU	Migrated Template	Active		
Armenia eSIM 3GB 15Days	Armenia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUUG7ZA	ARMENIA-3GB-15D	9.99		30/06/2026 23:00:29 MEST		y	4			11				B0FR5BK9R4						8721438400164				AMAZON_EU	Migrated Template	Active		
Australien eSIM 20GB 30Days	Australia eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUVVPN9	AUSTRALIA-20GB-30D	15.99		30/06/2026 23:22:53 MEST		y	4			11				B0FR9G1ZQJ						8721438400416				AMAZON_EU	Migrated Template	Active		
Australien eSIM 3GB 15Days	Australia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUYV3EE	AUSTRALIA-3GB-15D	8.99		30/06/2026 23:15:11 MEST		y	4			11				B0FR9SKY4D						8721438400386				AMAZON_EU	Migrated Template	Active		
Australien eSIM 5GB 30Days	Australia eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUZK9L5	AUSTRALIA-5GB-30D	9.99		30/06/2026 23:19:13 MEST		y	4			11				B0FR9JRB62						8721438400393				AMAZON_EU	Migrated Template	Active		
Österreich eSIM 20GB 30Days	Austria eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUWC4TM	AUSTRIA-20GB-30D	15.99		30/06/2026 23:32:41 MEST		y	4			11				B0FR8XBSBP						8721438400539				AMAZON_EU	Migrated Template	Active		
Österreich eSIM 3GB 15Days	Austria eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV2UZB2	AUSTRIA-3GB-15D	8.99		30/06/2026 23:26:26 MEST		y	4			11				B0FR9QSMSP						8721438400492				AMAZON_EU	Migrated Template	Active		
Österreich eSIM 5GB 30Days	Austria eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUZCB85	AUSTRIA-5GB-30D	9.99		30/06/2026 23:29:44 MEST		y	4			11				B0FR8XCH78						8721438400515				AMAZON_EU	Migrated Template	Active		
Australien eSIM 20GB 30Days		0325HRQ15O5	AU_20_30	14.68		25/03/2026 08:31:29 MET		y	1			11				B0FR9G1ZQJ						B0FR9G1ZQJ				AMAZON_EU	Migrated Template	Active		
Australien eSIM 3GB 15Days		0325HRZ8WFY	AU_3_15	6.13		25/03/2026 09:28:14 MET		y	1			11				B0FR9SKY4D						B0FR9SKY4D				AMAZON_EU	Migrated Template	Active		
Australien eSIM 5GB 30Days		0325HRXO9H3	AU_5_30	7.83		25/03/2026 08:46:12 MET		y	1			11				B0FR9JRB62						B0FR9JRB62				AMAZON_EU	Migrated Template	Active		
Aserbaidschan eSIM 3GB 15Days	Azerbaijan eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUWFA5N	AZERBAIJAN-3GB-15D	12.99		30/06/2026 23:36:13 MEST		y	4			11				B0FR9BTC98						8721438400560				AMAZON_EU	Migrated Template	Active		
Bahamas eSIM 20GB 30Days	Bahamas eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTMVE8Q	BAHAMAS-20GB-30D	121.99		30/06/2026 14:48:11 MEST		y	4			11				B0H6MCPR9P						8721438408597				AMAZON_EU	Migrated Template	Active		
