sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote	afn-fc-transfer-quantity	afn-onhand-buyable-quantity	store
SEYCHELLES-5GB-30D	B0FR9P7N6M	B0FR9P7N6M	Seychelles eSIM 5 Go 30 Jours	New	28.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	2	3	0	0	0	0	
SG_20_30	B0FRB256K8	B0FRB256K8	Singapour eSIM 20 Go 30 Jours	New	17.94	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SG_5_30	B0FR9X3Y3R	B0FR9X3Y3R	Singapour eSIM 5 Go 30 Jours	New	9.89	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SIERRA-LEONE-20GB-30D	B0H6ML1JW1	B0H6ML1JW1	Sierra Leone eSIM 20 Go 30 Jours	New	94.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SIERRA-LEONE-3GB-15D	B0H6MHPWKP	B0H6MHPWKP	Sierra Leone eSIM 3 Go 15 Jours	New	26.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SIERRA-LEONE-5GB-30D	B0H6MBK6HZ	B0H6MBK6HZ	Sierra Leone eSIM 5 Go 30 Jours	New	33.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SINGAPORE-20GB-30D	B0FRB256K8	B0FRB256K8	Singapour eSIM 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SINGAPORE-5GB-30D	B0FR9X3Y3R	B0FR9X3Y3R	Singapour eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SLOVAKIA-20GB-30D	B0FRB14YYC	B0FRB14YYC	Slovaquie eSIM 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	0	0	0	0	
SLOVAKIA-3GB-15D	B0FR9XC4BW	B0FR9XC4BW	Slovaquie eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	0	0	0	0	
SLOVAKIA-5GB-30D	B0FRB2X84M	B0FRB2X84M	Slovaquie eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	0	0	0	0	
SLOVENIA-20GB-30D	B0FR9X15V2	B0FR9X15V2	Slovénie eSIM 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	0	0	0	0	
SLOVENIA-3GB-15D	B0FR9XCF27	B0FR9XCF27	Slovénie eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	0	0	0	0	
SLOVENIA-5GB-30D	B0FRB3SJMR	B0FRB3SJMR	Slovénie eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	0	0	0	0	
SN_3_15	B0FRB4HX92	B0FRB4HX92	Sénégal eSIM 3 Go 15 Jours	New	29.52	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SN_5_30	B0FRB68H77	B0FRB68H77	Sénégal eSIM 5 Go 30 Jours	New	43.30	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
SOUTH-AFRICA-5GB-30D	B0FRB3R6F3	B0FRB3R6F3	Afrique du Sud eSIM 5 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	80	96.03	0	80	0	0	0	20	0	0	0	0	
SOUTH-AMERICA-5GB-30D	B0FRB8D7HC	B0FRB8D7HC	Amérique du Sud eSIM 5 Go 30 Jours	New	21.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	0	0	0	0	
SOUTH-KOREA-20GB-30D	B0FRC4P51Z	B0FRC4P51Z	Corée du Sud eSIM 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	5	0	0	0	0	0	
SOUTH-KOREA-3GB-15D	B0FRC4RTDF	B0FRC4RTDF	Corée du Sud eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	4	1	0	0	0	0	
SOUTH-KOREA-5GB-30D	B0FRD9LC4C	B0FRD9LC4C	Corée du Sud eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	5	0	0	0	0	0	
SPAIN-20GB-30D	B0FRCMPGPL	B0FRCMPGPL	Espagne eSIM 20 Go 30 Jours	New	15.99	No		Yes	0	0	0	0	99	96.03	0	99	0	0	20	0	0	0	0	0	
SPAIN-3GB-15D	B0FRCDHTZ7	B0FRCDHTZ7	Espagne eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	100	181.08	0	100	0	0	0	20	0	0	0	0	
SPAIN-5GB-30D	B0FRBQCLZN	B0FRBQCLZN	Espagne eSIM 5 Go 30 Jours	New	9.99	No		Yes	0	0	0	0	100	181.08	0	100	0	0	0	20	0	0	0	0	
SRI-LANKA-20GB-30D	B0FRC2DZN5	B0FRC2DZN5	Sri Lanka eSIM 20 Go 30 Jours	New	28.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	0	0	0	0	
SRI-LANKA-3GB-15D	B0FRB7Z1NW	B0FRB7Z1NW	Sri Lanka eSIM 3 Go 15 Jours	New	10.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	4	1	0	0	0	0	
