sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	store
MARTINIQUE-3GB-15D	B0H6M7SBFQ	B0H6M7SBFQ	Martinique eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	1	4	
MARTINIQUE-5GB-30D	B0H6MKCD1X	B0H6MKCD1X	Martinique eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
MAURITIUS-3GB-15D	B0H2FYRLRC	B0H2FYRLRC	Mauritius eSIM 3GB 15Days	New	16.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
MAURITIUS-5GB-30D	B0H2G2XMS3	B0H2G2XMS3	Mauritius eSIM 5GB 30Days	New	17.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	2	3	
MAYOTTE-20GB-30D	B0H6M5L8MC	B0H6M5L8MC	Mayotte eSIM 20GB 30Days	New	16.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
MAYOTTE-3GB-15D	B0H6MFWP88	B0H6MFWP88	Mayotte eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
MAYOTTE-5GB-30D	B0H6MD9C4Y	B0H6MD9C4Y	Mayotte eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
MA_20_30	B0FR9M57DY	B0FR9M57DY	Morocco eSIM 20GB 30Days	New	29.26	No		Yes	0	0	0	0	120	96.03	20	100	0	0	1	19	
MA_3_15	B0FR9CFZQR	B0FR9CFZQR	Morocco eSIM 3GB 15Days	New	8.59	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
MA_5_30	B0FR9CDDQ8	B0FR9CDDQ8	Morocco eSIM 5GB 30Days	New	9.10	No		Yes	0	0	0	0	119	96.03	20	99	0	0	5	15	
MEXICO-20GB-30D	B0FR9VDSJX	B0FR9VDSJX	Mexico eSIM 20GB 30Days	New	35.99	No		Yes	0	0	0	0	121	96.03	20	101	0	0	4	16	
MEXICO-3GB-15D	B0FR9SZSTG	B0FR9SZSTG	Mexico eSIM 3GB 15Days	New	11.99	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
MEXICO-5GB-30D	B0FR9H2K1C	B0FR9H2K1C	Mexico eSIM 5GB 30Days	New	14.99	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
MIDDLE-EAST-5GB-30D	B0FR9SYKP6	B0FR9SYKP6	Middle East eSIM 5GB 30Days	New	36.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	1	4	
MOLDOVA-3GB-15D	B0FR9CFQYY	B0FR9CFQYY	Moldova eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	3	2	
MONACO-3GB-15D	B0FR9ZS6GM	B0FR9ZS6GM	Monaco eSIM 3GB 15Days	New	63.99	No		Yes	0	0	0	0	121	169.44	20	101	0	0	0	20	
MONACO-5GB-30D	B0FR9H1H4M	B0FR9H1H4M	Monaco eSIM 5GB 30Days	New	85.99	No		Yes	0	0	0	0	119	169.44	20	99	0	0	0	20	
MONGOLIA-3GB-15D	B0FR9LSYTX	B0FR9LSYTX	Mongolia eSIM 3GB 15Days	New	16.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	0	5	
MONTENEGRO-3GB-15D	B0FR9R5HR7	B0FR9R5HR7	Montenegro eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	30	169.44	5	25	0	0	4	1	
MONTSERRAT-20GB-30D	B0H6MG87HK	B0H6MG87HK	Montserrat eSIM 20GB 30Days	New	94.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
MONTSERRAT-3GB-15D	B0H6MDJ2ZR	B0H6MDJ2ZR	Montserrat eSIM 3GB 15Days	New	25.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
MONTSERRAT-5GB-30D	B0H6MGQ1Y4	B0H6MGQ1Y4	Montserrat eSIM 5GB 30Days	New	33.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
MOROCCO-20GB-30D	B0FR9M57DY	B0FR9M57DY	Morocco eSIM 20GB 30Days	New	26.99	No		Yes	0	0	0	0	120	96.03	20	100	0	0	1	19	
MOROCCO-3GB-15D	B0FR9CFZQR	B0FR9CFZQR	Morocco eSIM 3GB 15Days	New	9.99	No		Yes	0	0	0	0	120	96.03	20	100	0	0	0	20	
MOROCCO-5GB-30D	B0FR9CDDQ8	B0FR9CDDQ8	Morocco eSIM 5GB 30Days	New	14.99	No		Yes	0	0	0	0	119	96.03	20	99	0	0	5	15	
