item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
Aaland Islands eSIM 20GB 30Days	Aaland Islands eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUUKBXM	AALAND-ISLANDS-20GB-30D	33.99		30/06/2026 22:43:35 MEST		y	4			11				B0FR39Q1KJ						8721438400041				AMAZON_EU	Migrated Template	Active		
Islas Aaland eSIM 3GB 15Days	Aaland Islands eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUUO7U8	AALAND-ISLANDS-3GB-15D	9.99		30/06/2026 22:36:48 MEST		y	4			11				B0FR3CCSMB						8721438400010				AMAZON_EU	Migrated Template	Active		
Islas Aaland eSIM 5GB 30Days	Aaland Islands eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HV1UQY2	AALAND-ISLANDS-5GB-30D	13.99		30/06/2026 22:40:29 MEST		y	4			11				B0FR3G6JWB						8721438400034				AMAZON_EU	Migrated Template	Active		
Emiratos Árabes Unidos eSIM 20GB 30Days		0325HS1D2S0	AE_20_30	42.48		25/03/2026 09:14:22 MET		y	1			11				B0FRB7TFJR						B0FRB7TFJR				AMAZON_EU	Migrated Template	Active		
Emiratos Árabes Unidos eSIM 3GB 15Days		0325HS5V3QW	AE_3_15	10.96		25/03/2026 10:05:25 MET		y	1			11				B0FRBBYBGH						B0FRBBYBGH				AMAZON_EU	Migrated Template	Active		
Emiratos Árabes Unidos eSIM 5GB 30Days		0325HRK1YKN	AE_5_30	16.29		25/03/2026 08:49:37 MET		y	1			11				B0FRB89XHX						B0FRB89XHX				AMAZON_EU	Migrated Template	Active		
África eSIM 5GB 30Days	Africa eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUVMDWE	AFRICA-5GB-30D	29.99		30/06/2026 22:46:52 MEST		y	4			11				B0FR3GK9Z7						8721438400072				AMAZON_EU	Migrated Template	Active		
Argelia eSIM 20GB 30Days	Algeria eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTL8YB4	ALGERIA-20GB-30D	26.99		30/06/2026 13:31:31 MEST		y	4			11				B0H6M5TDMD						8721438408443				AMAZON_EU	Migrated Template	Active		
Argelia eSIM 3GB 15Days	Algeria eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTC6U1N	ALGERIA-3GB-15D	9.99		30/06/2026 13:23:30 MEST		y	4			11				B0H6M9R3WH						8721438408429				AMAZON_EU	Migrated Template	Active		
Argelia eSIM 5GB 30Days	Algeria eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTFQO19	ALGERIA-5GB-30D	11.99		30/06/2026 13:27:40 MEST		y	4			11				B0H6MDYKG8						8721438408436				AMAZON_EU	Migrated Template	Active		
Andorra eSIM 20GB 30Days	Andorra eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTFMTWW	ANDORRA-20GB-30D	44.99		30/06/2026 13:43:02 MEST		y	4			11				B0H6MJ97WC						8721438408474				AMAZON_EU	Migrated Template	Active		
Andorra eSIM 3GB 15Days	Andorra eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTM01JI	ANDORRA-3GB-15D	15.99		30/06/2026 13:35:32 MEST		y	4			11				B0H6MBPRYN						8721438408450				AMAZON_EU	Migrated Template	Active		
Andorra eSIM 5GB 30Days	Andorra eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTM07EW	ANDORRA-5GB-30D	16.99		30/06/2026 13:39:22 MEST		y	4			11				B0H6M5P65S						8721438408467				AMAZON_EU	Migrated Template	Active		
Angola eSIM 3GB 15Days	Angola eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTCP0NK	ANGOLA-3GB-15D	35.99		30/06/2026 13:46:12 MEST		y	4			11				B0H6M5RWZH						8721438408481				AMAZON_EU	Migrated Template	Active		
Angola eSIM 5GB 30Days	Angola eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTCNIIU	ANGOLA-5GB-30D	58.99		30/06/2026 13:50:01 MEST		y	4			11				B0H6MKZSB4						8721438408498				AMAZON_EU	Migrated Template	Active		
Anguila eSIM 20GB 30Days	Anguilla eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTJ3WRH	ANGUILLA-20GB-30D	87.99		30/06/2026 14:10:11 MEST		y	4			11				B0H6MHMZY8						8721438408535				AMAZON_EU	Migrated Template	Active		
