item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
Australia eSIM 3GB 15Days	Australia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0625HBRVNQ5	AUSTRALIA-3GB-15D	6.99		25/06/2026 16:43:41 BST		y	4			11				B0FR9SKY4D						8721438400386				AMAZON_EU	Migrated Template	Active		
Australia eSIM 5GB 30Days	Australia eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0625HBPT509	AUSTRALIA-5GB-30D	7.99		25/06/2026 16:44:07 BST		y	4			11				B0FR9JRB62						8721438400393				AMAZON_EU	Migrated Template	Active		
Australia eSIM 3GB 15Days	esim, esim card, esim Australia, Australia esim, sim card Australia, Australia sim card, prepaid sim card unlimited data, sim cards pay as you go, sim, sim card, simcard pay as you go, sim card for travel, best sim for holiday, pay as you go sim, sim cards, payg sim card, pre pay sim card, prepaid sim card, travel sim, data sim, sim card with data, pre loaded data sim cards, sim card prepaid, data only sim card roaming, prepaid sim card, prepaid data sim card, pay as you go simcard, pre paid sim cards, roaming data sim card, prepaid sim, travel sim, uk sim, prepaid sim card, international sim card, data sim card, preloaded sim card, e sim card, usa data sim	0916FFLEAI3	AU_3_15	5.49		16/09/2025 11:50:20 BST		y	4			11				B0FR9SKY4D						8721438400386				AMAZON_EU	Migrated Template	Active		
Australia eSIM 5GB 30Days	esim, esim card, esim Australia, Australia esim, sim card Australia, Australia sim card, prepaid sim card unlimited data, sim cards pay as you go, sim, sim card, simcard pay as you go, sim card for travel, best sim for holiday, pay as you go sim, sim cards, payg sim card, pre pay sim card, prepaid sim card, travel sim, data sim, sim card with data, pre loaded data sim cards, sim card prepaid, data only sim card roaming, prepaid sim card, prepaid data sim card, pay as you go simcard, pre paid sim cards, roaming data sim card, prepaid sim, travel sim, uk sim, prepaid sim card, international sim card, data sim card, preloaded sim card, e sim card, usa data sim	0916FFK56H4	AU_5_30	6.99		16/09/2025 11:50:20 BST		y	4			11				B0FR9JRB62						8721438400393				AMAZON_EU	Migrated Template	Active		
Belgium eSIM 20GB 30Days	Belgium eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0625HBR04X9	BELGIUM-20GB-30D	12.99		25/06/2026 16:50:25 BST		y	4			11				B0FR9BVRCH						8721438400775				AMAZON_EU	Migrated Template	Active		
Belgium eSIM 3GB 15Days	Belgium eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0625HBVQKA9	BELGIUM-3GB-15D	6.99		25/06/2026 16:49:34 BST		y	4			11				B0FR9G432K						8721438400737				AMAZON_EU	Migrated Template	Active		
Belgium eSIM 5GB 30Days	Belgium eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0625HBQ7QAF	BELGIUM-5GB-30D	7.99		25/06/2026 16:49:59 BST		y	4			11				B0FR9SXCW6						8721438400751				AMAZON_EU	Migrated Template	Active		
Belgium eSIM 20GB 30Days	esim, esim card, belgium esim, esim belgium, data sim belgium, belgium data sim, belgium sim card, sim card belgium, prepaid sim card unlimited data, sim cards pay as you go, sim, sim card, simcard pay as you go, sim card for travel, best sim for holiday, pay as you go sim, sim cards, payg sim card, pre pay sim card, prepaid sim card, travel sim, data sim, sim card with data, pre loaded data sim cards, sim card prepaid, data only sim card roaming, prepaid sim card, prepaid data sim card, pay as you go simcard, pre paid sim cards, roaming data sim card, prepaid sim, travel sim, uk sim, prepaid sim card, international sim card, data sim card, preloaded sim card, e sim card, usa data sim	0916FFQZTUD	BE_20_30	15.99		16/09/2025 12:11:43 BST		y	4			11				B0FR9BVRCH						8721438400775				AMAZON_EU	Migrated Template	Active		
Belgium eSIM 3GB 15Days	esim, esim card, belgium esim, esim belgium, data sim belgium, belgium data sim, belgium sim card, sim card belgium, prepaid sim card unlimited data, sim cards pay as you go, sim, sim card, simcard pay as you go, sim card for travel, best sim for holiday, pay as you go sim, sim cards, payg sim card, pre pay sim card, prepaid sim card, travel sim, data sim, sim card with data, pre loaded data sim cards, sim card prepaid, data only sim card roaming, prepaid sim card, prepaid data sim card, pay as you go simcard, pre paid sim cards, roaming data sim card, prepaid sim, travel sim, uk sim, prepaid sim card, international sim card, data sim card, preloaded sim card, e sim card, usa data sim	0916FFK4GYS	BE_3_15	5.99		16/09/2025 12:11:43 BST		y	4			11				B0FR9G432K						8721438400737				AMAZON_EU	Migrated Template	Active		
Belgium eSIM 5GB 30Days	esim, esim card, belgium esim, esim belgium, data sim belgium, belgium data sim, belgium sim card, sim card belgium, prepaid sim card unlimited data, sim cards pay as you go, sim, sim card, simcard pay as you go, sim card for travel, best sim for holiday, pay as you go sim, sim cards, payg sim card, pre pay sim card, prepaid sim card, travel sim, data sim, sim card with data, pre loaded data sim cards, sim card prepaid, data only sim card roaming, prepaid sim card, prepaid data sim card, pay as you go simcard, pre paid sim cards, roaming data sim card, prepaid sim, travel sim, uk sim, prepaid sim card, international sim card, data sim card, preloaded sim card, e sim card, usa data sim	0916FFT224W	BE_5_30	6.99		16/09/2025 12:11:43 BST		y	4			11				B0FR9SXCW6						8721438400751				AMAZON_EU	Migrated Template	Active		
